Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000000;59.4296195691669;28.869921180834;66.0708107345708;25.9097108228116;42.3647858930392
2;794330;63.4100735929369;24.2742390878042;67.8975413130222;20.9475259818325;44.729830887068
3;630960;65.6669208579814;19.9504614992021;68.6306448243024;16.8994612180232;46.0248498837984
4;501190;67.015502877201;16.5481277200601;69.0283866023505;13.8705647725032;47.534877879986
5;398110;67.7638492955181;14.0062577391978;69.1962031270685;11.6781397547926;48.9349058764512
6;316230;68.1249046303713;12.3266012957202;69.2311182229555;10.2561989619631;50.3349298729165
7;251190;68.3844063339797;11.4227098101641;69.331849312261;9.48295276812529;51.6399538696217
8;199530;68.614473030901;11.2034477784813;69.5231123543344;9.27348413473212;52.9849808662258
9;158490;68.9724322438342;11.5638510665829;69.9351060707025;9.51763479524229;54.3500038627794
10;125890;69.4628139690651;12.4328753989128;70.5666983440903;10.1476925056131;55.5800278596739
11;100000;70.1014581720864;13.7761666614023;71.4422648418673;11.1179490337738;56.9300538562654
12;79433;70.9723401065405;15.624934413614;72.6719453133614;12.4159036434272;58.2000758530589
13;63096;71.9606673912344;17.9746121119329;74.1715870934842;14.024586563517;59.6301018494485
14;50119;73.1942350021345;20.9308853050861;76.1281682243988;15.9586004166973;61.060131845838
15;39811;74.6458339006078;24.560520843158;78.5825661505421;18.212619477981;62.430154842379
16;31623;76.2774950809248;28.9629083274269;81.5910921277773;20.7919951228947;63.720177839122
17;25119;78.3219457850851;34.3476881531833;85.5224582962285;23.6796075478334;64.9652008359786
18;19953;80.6942165877864;40.8333590915396;90.4373805758172;26.8405892721993;66.2452268327469
19;15849;83.5660635195411;48.6773470484891;96.7097259216002;30.220858820801;67.5452518294646
20;12589;86.9886426667215;58.1306142697235;104.62405205484;33.7530332583005;68.8702728261193
21;10000;91.0864084391775;69.4796920249269;114.560732392157;37.3359824460092;71.76533081881
22;7943.3;96.1476740080378;83.1332908904538;127.104363699413;40.8480614190258;72.9303478158686
23;6309.6;102.16912031208;99.3549252890714;142.512912834386;44.19994153993;74.2003718126621
24;5011.9;109.447307196495;118.756168849901;161.498423188804;47.3359107234828;75.4853978094177
25;3981.1;118.203134760168;141.86532896377;184.655767928135;50.1987130081913;76.7454208062364
26;3162.3;128.586204324086;169.338639029111;212.626401490283;52.7890145021842;77.9904418030931
27;2511.9;141.210818037914;202.169828153026;246.603192490204;55.0666163695178;81.8805157932716
28;1995.3;155.877678295542;241.223299165512;287.204684242967;57.1295925703424;83.2005387899388
29;1584.9;173.316879933239;287.931922359639;336.070725865122;58.954708494388;84.5805637864546
30;1258.9;194.047787525724;343.888340442545;394.859132521911;60.5650247172314;85.9705917829451
31;1000;218.531455035539;410.787245252486;465.297923595276;61.9878226300561;87.4256167792715
32;794.33;247.619658373216;490.812721776218;549.73868616848;63.2286237273757;88.9356457754591
33;630.96;282.484654281146;587.242203103556;651.652503264015;64.3107693829824;90.3056697720001
34;501.19;324.197448335115;702.951663841579;774.109182999817;65.2411077803656;91.7106977684527
35;398.11;374.244910900381;841.134687733852;920.633920863205;66.0143489874745;93.070722765019
36;316.23;434.940752640109;1008.29060241046;1098.09990311283;66.6663484530191;95.3557677592498
37;251.19;508.39876907648;1206.80024281199;1309.51751971845;67.1553633650597;96.820790755551
38;199.53;597.106641284307;1444.85931104442;1563.37927892677;67.5465114188924;98.2658207519027
39;158.49;705.225911251363;1728.10986110355;1866.46920090947;67.8000756002015;99.7308467482038
40;125.89;836.885387149999;2066.63681607126;2229.65577629516;67.9544944286231;101.260872744341
41;100;996.960990378928;2468.14803053971;2661.89517393048;68.0047007604487;104.285931736703
42;79.433;1192.80631093656;2946.07711664094;3178.38910025275;67.9579826974327;105.825959732815
43;63.096;1434.03939858659;3515.6504038538;3796.87592091393;67.8093743329183;107.460988728687
44;50.119;1716.75616237624;4180.43091204302;4519.20948080764;67.6737657773607;109.111019724521
45;39.811;2068.93408496728;4971.30387869519;5384.64023888962;67.4041258093331;118.461192700914
46;31.623;2498.6325237637;5909.16027782243;6415.71037982578;67.0793880783208;121.796254692494
47;25.119;3008.71586352889;6991.76992698363;7611.6501403653;66.7167028958151;123.651287687811
48;19.953;3624.39654553856;8270.96073964977;9030.22933685185;66.3366096160264;125.731327682559
49;15.849;4373.15467835596;9796.62918538271;10728.393413588;65.9443110289207;127.791364677358
50;12.589;5256.77385395978;11536.5583874482;12677.769945013;65.5030378880408;129.92140467198
51;10;6310.31443335572;13580.0800520041;14974.5999100696;65.0769169895907;132.326449665908
52;7.9433;7530.15503358574;15937.7346162763;17627.0990105771;64.7105133792749;134.751494659785
53;6.3096;9011.27252192819;18724.712908005;20780.2287271259;64.300803059806;138.226558651011
54;5.0119;10716.0788123586;21953.9185405803;24429.6722122733;63.9822144074854;140.666602644851
55;3.9811;12693.0309915951;25699.2639768431;28662.9587569926;63.7149390403712;143.261650638299
56;3.1623;14986.292478961;30089.4307260588;33614.9193615463;63.5240162115372;145.94670063152
57;2.5119;17547.0950958349;35246.2280398368;39372.5429371593;63.5338943337778;148.691752624589
58;1.9953;20511.8210719378;41291.1086678003;46105.2107543527;63.5835962989145;151.511804617469
59;1.5849;23830.3936207027;48419.2005639907;53965.7914180232;63.7950527788714;154.471859609996
60;1.2589;27610.6351405556;56978.1317290894;63315.5168043533;64.1459595183123;157.586917602131
61;1;31813.5769530659;67038.5896439241;74204.2868033585;64.613033294248;162.662011589318
62;0.79433;36566.8263728223;79247.3811983316;87277.0314445548;65.230157217334;166.022073580835
63;0.63096;41896.7818306947;93827.2967662065;102756.517779762;65.9377648179774;169.657139571657
64;0.50119;47747.0152569369;111547.485675846;121336.799968308;66.8270386418231;173.532212561873
65;0.39811;54531.9581793328;133106.577285572;143843.9966754;67.7217533714233;177.687289551383
66;0.31623;62144.5676624321;159606.622409545;171278.1982826;68.7260099922339;182.452375539352
67;0.25119;70808.2256610385;191465.443440427;204139.219291894;69.7044730528621;187.857478525705
68;0.19953;80959.7168752957;230370.621444956;244182.511620844;70.6368688013866;199.832699495471
69;0.15849;92805.8010274327;277946.131189531;293030.661446156;71.5359117422355;206.997830477381
70;0.12589;106768.299254004;337010.957255271;353519.242808233;72.4212995579728;215.547990455794
71;0.1;123857.756920704;409448.983921668;427772.38618676;73.1695059019773;225.78817842994
