Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000000;58.3776114275245;28.5627338477624;64.9905784005739;26.0713697534258;107.824997727768
2;794330;62.2657578688919;24.135745061759;66.7799280672995;21.1875607286993;110.610049720736
3;630960;64.4007263191588;19.9667301120099;67.4249498464851;17.2254693742986;111.885073717517
4;501190;65.7494413349456;16.810786432531;67.8645089596736;14.3421031144162;113.345098713831
5;398110;66.5213859243713;14.5015652493758;68.083699811196;12.2979917357585;114.685124710448
6;316230;66.9516435224315;13.0389453828851;68.2095056942403;11.0205021362705;116.040149707027
7;251190;67.3560876765423;12.3603784361958;68.4808111968311;10.3985376893938;117.325174703782
8;199530;67.706204357479;12.3382691645458;68.8212394139592;10.3278224277615;118.715199700273
9;158490;68.2611737512089;12.9224302301091;69.4735708377277;10.7197306183629;120.190225696549
10;125890;68.9604501909389;13.9977024050918;70.3667489881299;11.4741003967016;121.520249693191
11;100000;69.8277234024712;15.5453875017831;71.5371933203464;12.5507899358569;122.935276689618
12;79433;70.922766215312;17.6073207279488;73.0756902865013;13.9424013279706;124.1703006865
13;63096;72.1893803116357;20.1832446434319;74.9577880817904;15.6203250957699;125.575325682953
14;50119;73.6686057698097;23.3590025524783;77.2832871733231;17.5928939082096;127.030353679279
15;39811;75.3432139338229;27.2261666941603;80.1115724395422;19.8679247298278;128.510381675542
16;31623;77.2773152248117;31.9291684392266;83.6137264184262;22.4492624780496;129.850403672159
17;25119;79.4657798772401;37.6189246481763;87.9203825240948;25.3327712012767;131.135429668915
18;19953;81.9805847856194;44.5372484504948;93.2972817467542;28.5137206127431;132.380452665771
19;15849;84.8289417669597;52.9186840800304;99.9816807523473;31.9570769512896;133.700474662439
20;12589;88.1734952721425;63.1316863855932;108.444340997562;35.6024331711567;135.005499659144
21;10000;92.0544395016161;75.5617330336878;119.094900524796;39.3804321765184;137.975555651645
22;7943.3;96.6137409483636;90.6373666284977;132.473949021633;43.171947652443;139.245578648439
23;6309.6;102.067763811881;108.97706178685;149.31117977316;46.8751100348334;140.610604644992
24;5011.9;108.559952676222;131.254730556813;170.332227187356;50.4060658301448;141.920627641685
25;3981.1;116.320320045923;158.18260109711;196.34701970092;53.6709209005328;143.185653638491
26;3162.3;125.645191564827;190.92734709793;228.56063972875;56.6519429945453;144.435674635335
27;2511.9;137.06518830538;230.539881734849;268.207947152032;59.2668220666282;146.645716629755
28;1995.3;150.706247354061;278.579151001719;316.731299944261;61.5874191392361;147.805736626826
29;1584.9;167.367119206736;336.959664594468;376.236053768346;63.5865110293798;149.085762623595
30;1258.9;187.444675120159;407.261586845544;448.327454380002;65.2854548669038;150.46578462011
31;1000;212.033587838698;492.517996608574;536.220308599996;66.7076715968347;151.755810616853
32;794.33;242.238997278383;595.747745557787;643.113604380767;67.872683746811;153.250838613079
33;630.96;279.05734289429;720.117131520134;772.296370399348;68.8178235309833;154.515860609885
34;501.19;324.845893396561;872.69274724429;931.191433352668;69.5830235291994;156.54589960476
35;398.11;380.561789862111;1054.07418224927;1120.66929001714;70.1484455076228;157.640919601995
36;316.23;449.362452945418;1272.89345355159;1349.88309057177;70.5557249030394;158.930944598738
37;251.19;533.927829852633;1535.86288900448;1626.02390551687;70.8304886682704;160.235968595443
38;199.53;638.767365067161;1852.02593911605;1959.0874982587;70.9705859063374;161.610991591971
39;158.49;768.138723732037;2231.77753554772;2360.26864298794;71.0074345309862;162.96601658855
40;125.89;928.699996419562;2685.40782476307;2841.46069278609;70.9229761979195;164.341044585079
41;100;1127.97113230751;3228.79558822372;3420.15201794482;70.743274571387;165.671068581721
42;79.433;1375.09565041707;3878.14875824462;4114.72062707424;70.4767521006688;167.046092578249
43;63.096;1689.50191468987;4652.90981170695;4950.15014273502;70.0437101337922;168.461120574677
44;50.119;2062.01621979943;5544.01257255577;5915.06435259773;69.5980350903268;178.356304549694
45;39.811;2540.72735273082;6638.44906932899;7108.04484559499;69.0566993837304;188.266488524673
46;31.623;3124.98616236758;7891.34727066149;8487.5732845829;68.3963549168186;189.751512520923
47;25.119;3878.07661953465;9414.72154989226;10182.1638235194;67.6124421766827;192.266561514574
48;19.953;4811.37198340289;11160.986560811;12153.8850320907;66.6796858317705;193.981593510244
49;15.849;6009.14105939813;13182.7023626045;14487.6988460129;65.4948269569081;195.891628505421
50;12.589;7405.4218677257;15508.5329377937;17185.8915079091;64.4752316459267;198.246672499475
51;10;9191.57135430052;18154.5179491734;20348.7470358265;63.1470598394421;200.586715493567
52;7.9433;11429.8133947318;21209.7678206979;24093.4614625276;61.6800456492287;202.826756487912
53;6.3096;14093.8600901362;24473.3055343877;28241.4513794852;60.0629164147883;205.266803481751
54;5.0119;17402.2051902537;28128.5477397143;33076.4560288595;58.2562872215603;207.586846475894
55;3.9811;21451.3839892593;31938.2267582961;38473.5260083995;56.1126249450476;210.066891469632
56;3.1623;26187.4802888017;36247.8154175925;44717.8739032195;54.1535155041053;212.531934463408
57;2.5119;31836.5386727308;40499.8404304254;51515.0683737313;51.8294491609488;215.10198445692
58;1.9953;38366.6955817526;44773.5551353749;58963.3324136563;49.4065534514295;217.90203444985
59;1.5849;45947.2527750145;48950.3621783873;67136.3388558414;46.8125649432791;220.802092442528
60;1.2589;54440.0952901477;52648.9486680033;75733.980293171;44.0417733699879;223.692141435232
61;1;63884.3883231851;55924.5459698296;84904.4752257446;41.1989802741201;228.692235422608
62;0.79433;74140.3888139925;58378.6524726033;94365.5886327584;38.2171388890355;231.887293414541
63;0.63096;85172.1132637933;59909.515868604;104131.83456288;35.1223066238937;235.402358405666
64;0.50119;96575.2678179981;60464.3188791188;113941.722874607;32.0500617236695;239.267432395908
65;0.39811;108149.998840391;59595.2022629249;123482.834361443;28.8566145060175;243.577509385026
66;0.31623;119849.08176876;57383.7135305473;132878.489528482;25.5850890902995;248.367600372932
67;0.25119;131054.407382955;53419.5907661369;141523.532926928;22.1764892928384;253.812699359185
68;0.19953;141693.212526569;50668.8065716102;150480.212770619;19.6768040880809;260.03281634348
69;0.15849;149578.870801943;41511.0095107855;155232.092368134;15.510356278124;267.357952324986
70;0.12589;160710.356974092;33991.8422979705;164265.83388383;11.9426144899058;275.853108303538
71;0.1;166887.589532709;26496.9924876892;168977.981260668;9.02163273876646;286.803312275891
