Index;Frequency (Hz);Z' (Ω);-Z'' (Ω);Z (Ω);-Phase (°);Time (s)
1;1000000;60.2758849688884;30.2794232167718;67.453878903463;26.6725387486536;29.5595509253693
2;794330;64.5096961921225;25.894564670887;69.5128001327432;21.8708111907797;30.9595729218346
3;630960;66.9129227230184;21.5952146700764;70.3113968285605;17.8867628397242;33.5146239153837
4;501190;68.4950933216391;18.3905724689533;70.9210192035892;15.0291598864716;35.154649911243
5;398110;69.4361467623722;16.0378025589099;71.2642237600626;13.0056442521794;36.5196769077967
6;316230;70.0201045318956;14.6051701628083;71.5270999981278;11.78212876989;37.919703904262
7;251190;70.4784782179139;13.9903467997508;71.8536407949539;11.2275590521145;39.2197269009797
8;199530;70.946222870167;14.1143875438053;72.3365915376177;11.2517917293889;40.5947528975081
9;158490;71.5810004816052;14.9011283096667;73.1155472854352;11.7594051045721;41.9797768940113
10;125890;72.4124677522424;16.2707480058139;74.2179407329403;12.6637707616588;43.23979989083
11;100000;73.4314363249236;18.180780388519;75.6486392229025;13.9061295593347;44.6748268872069
12;79433;74.6791950506724;20.7042173469295;77.4961082207699;15.495613904761;45.9998518838615
13;63096;76.1620022593058;23.8536308495281;79.8100638569602;17.3903449708345;47.3898768803521
14;50119;77.8836516821968;27.7230883001478;82.6706285463679;19.5934496962872;48.8849048765775
15;39811;79.9133386038249;32.4419417362606;86.2474421094823;22.0953836025776;50.3049328729923
16;31623;82.2480456921116;38.1619214521978;90.6701343833536;24.8906284611174;51.5499568698489
17;25119;84.9432355568894;45.0743537126153;96.1615860387252;27.9522494719938;52.7899808667181
18;19953;88.1165553930058;53.4592032196865;103.065094688805;31.2446603429552;54.105001863398
19;15849;91.7361513324852;63.5296066199229;111.586434563431;34.7035814213835;55.4150258600905
20;12589;96.067838794506;75.7277669544123;122.326302725738;38.2477891329936;56.6950498568588
21;10000;101.488646885654;90.4056546997899;135.91588519514;41.6945135405342;58.8650928513799
22;7943.3;107.536664065365;108.137548981001;152.505290458809;45.1596300275003;60.1451138481482
23;6309.6;114.711462510619;129.439153781699;172.954370176204;48.4520219072854;61.4651408448154
24;5011.9;123.318402464916;155.158096306747;198.195517699147;51.5226061207049;62.7001628416973
25;3981.1;133.501521914446;186.009097362123;228.958600307883;54.3324285792366;64.0051848384024
26;3162.3;145.712631027315;223.247117016295;266.592284391333;56.867652550093;65.355210834994
27;2511.9;160.230390128803;267.98628708211;312.234572052622;59.124578086561;66.7602378314466
28;1995.3;177.699613819323;322.137743260662;367.899277499439;61.1177210697759;68.1402608279624
29;1584.9;198.492854977219;387.116686602346;435.038782780324;62.8536609240465;69.4002848247811
30;1258.9;223.57933017124;465.639157998347;516.534163769668;64.3517407354579;70.6403098216504
31;1000;253.670640334943;560.133085443583;614.89663129382;65.6353850696059;71.9153338184312
32;794.33;290.079876266151;674.019465851202;733.790552515447;66.714254300797;73.335357814846
33;630.96;334.231460110498;811.169252268832;877.329028787929;67.606543864879;74.5703808117279
34;501.19;389.06272780412;980.362465819161;1054.7418501953;68.3540499377569;75.8904048083951
35;398.11;454.663527775862;1179.98879300483;1264.55228247257;68.9277406913998;77.205430805075
36;316.23;534.406393948887;1418.83538043162;1516.14116448897;69.3610446882622;78.5904558015782
