"Z60W Data File: Version 1.1" 
"" 
"" 
"" 
"" 
"" 
"" 
"" 
0.2.0.1.1.100000 
150
Freq (Hz) Ampl Time(Sec); Z'(a) Z''(b) GD Err Range 
1000000.00000 0.00000 0.00000 0.00000 59.42962 -28.86992 0.00000 0.00000 0.00000
794330.00000 0.00000 0.00000 0.00000 63.41007 -24.27424 0.00000 0.00000 0.00000
630960.00000 0.00000 0.00000 0.00000 65.66692 -19.95046 0.00000 0.00000 0.00000
501190.00000 0.00000 0.00000 0.00000 67.01550 -16.54813 0.00000 0.00000 0.00000
398110.00000 0.00000 0.00000 0.00000 67.76385 -14.00626 0.00000 0.00000 0.00000
316230.00000 0.00000 0.00000 0.00000 68.12490 -12.32660 0.00000 0.00000 0.00000
251190.00000 0.00000 0.00000 0.00000 68.38441 -11.42271 0.00000 0.00000 0.00000
199530.00000 0.00000 0.00000 0.00000 68.61447 -11.20345 0.00000 0.00000 0.00000
158490.00000 0.00000 0.00000 0.00000 68.97243 -11.56385 0.00000 0.00000 0.00000
125890.00000 0.00000 0.00000 0.00000 69.46281 -12.43288 0.00000 0.00000 0.00000
100000.00000 0.00000 0.00000 0.00000 70.10146 -13.77617 0.00000 0.00000 0.00000
79433.00000 0.00000 0.00000 0.00000 70.97234 -15.62493 0.00000 0.00000 0.00000
63096.00000 0.00000 0.00000 0.00000 71.96067 -17.97461 0.00000 0.00000 0.00000
50119.00000 0.00000 0.00000 0.00000 73.19424 -20.93089 0.00000 0.00000 0.00000
39811.00000 0.00000 0.00000 0.00000 74.64583 -24.56052 0.00000 0.00000 0.00000
31623.00000 0.00000 0.00000 0.00000 76.27750 -28.96291 0.00000 0.00000 0.00000
25119.00000 0.00000 0.00000 0.00000 78.32195 -34.34769 0.00000 0.00000 0.00000
19953.00000 0.00000 0.00000 0.00000 80.69422 -40.83336 0.00000 0.00000 0.00000
15849.00000 0.00000 0.00000 0.00000 83.56606 -48.67735 0.00000 0.00000 0.00000
12589.00000 0.00000 0.00000 0.00000 86.98864 -58.13061 0.00000 0.00000 0.00000
10000.00000 0.00000 0.00000 0.00000 91.08641 -69.47969 0.00000 0.00000 0.00000
7943.30000 0.00000 0.00000 0.00000 96.14767 -83.13329 0.00000 0.00000 0.00000
6309.60000 0.00000 0.00000 0.00000 102.16912 -99.35493 0.00000 0.00000 0.00000
