"Z60W Data File: Version 1.1" 
"" 
"" 
"" 
"" 
"" 
"" 
"" 
0.2.0.1.1.100000 
150
Freq (Hz) Ampl Time(Sec); Z'(a) Z''(b) GD Err Range 
1000000.00000 0.00000 0.00000 0.00000 58.37761 -28.56273 0.00000 0.00000 0.00000
794330.00000 0.00000 0.00000 0.00000 62.26576 -24.13575 0.00000 0.00000 0.00000
630960.00000 0.00000 0.00000 0.00000 64.40073 -19.96673 0.00000 0.00000 0.00000
501190.00000 0.00000 0.00000 0.00000 65.74944 -16.81079 0.00000 0.00000 0.00000
398110.00000 0.00000 0.00000 0.00000 66.52139 -14.50157 0.00000 0.00000 0.00000
316230.00000 0.00000 0.00000 0.00000 66.95164 -13.03895 0.00000 0.00000 0.00000
251190.00000 0.00000 0.00000 0.00000 67.35609 -12.36038 0.00000 0.00000 0.00000
199530.00000 0.00000 0.00000 0.00000 67.70620 -12.33827 0.00000 0.00000 0.00000
158490.00000 0.00000 0.00000 0.00000 68.26117 -12.92243 0.00000 0.00000 0.00000
125890.00000 0.00000 0.00000 0.00000 68.96045 -13.99770 0.00000 0.00000 0.00000
100000.00000 0.00000 0.00000 0.00000 69.82772 -15.54539 0.00000 0.00000 0.00000
79433.00000 0.00000 0.00000 0.00000 70.92277 -17.60732 0.00000 0.00000 0.00000
63096.00000 0.00000 0.00000 0.00000 72.18938 -20.18324 0.00000 0.00000 0.00000
50119.00000 0.00000 0.00000 0.00000 73.66861 -23.35900 0.00000 0.00000 0.00000
39811.00000 0.00000 0.00000 0.00000 75.34321 -27.22617 0.00000 0.00000 0.00000
31623.00000 0.00000 0.00000 0.00000 77.27732 -31.92917 0.00000 0.00000 0.00000
25119.00000 0.00000 0.00000 0.00000 79.46578 -37.61892 0.00000 0.00000 0.00000
19953.00000 0.00000 0.00000 0.00000 81.98058 -44.53725 0.00000 0.00000 0.00000
15849.00000 0.00000 0.00000 0.00000 84.82894 -52.91868 0.00000 0.00000 0.00000
12589.00000 0.00000 0.00000 0.00000 88.17350 -63.13169 0.00000 0.00000 0.00000
10000.00000 0.00000 0.00000 0.00000 92.05444 -75.56173 0.00000 0.00000 0.00000
7943.30000 0.00000 0.00000 0.00000 96.61374 -90.63737 0.00000 0.00000 0.00000
6309.60000 0.00000 0.00000 0.00000 102.06776 -108.97706 0.00000 0.00000 0.00000
5011.90000 0.00000 0.00000 0.00000 108.55995 -131.25473 0.00000 0.00000 0.00000
3981.10000 0.00000 0.00000 0.00000 116.32032 -158.18260 0.00000 0.00000 0.00000
3162.30000 0.00000 0.00000 0.00000 125.64519 -190.92735 0.00000 0.00000 0.00000
2511.90000 0.00000 0.00000 0.00000 137.06519 -230.53988 0.00000 0.00000 0.00000
1995.30000 0.00000 0.00000 0.00000 150.70625 -278.57915 0.00000 0.00000 0.00000
1584.90000 0.00000 0.00000 0.00000 167.36712 -336.95966 0.00000 0.00000 0.00000
1258.90000 0.00000 0.00000 0.00000 187.44468 -407.26159 0.00000 0.00000 0.00000
1000.00000 0.00000 0.00000 0.00000 212.03359 -492.51800 0.00000 0.00000 0.00000
794.33000 0.00000 0.00000 0.00000 242.23900 -595.74775 0.00000 0.00000 0.00000
630.96000 0.00000 0.00000 0.00000 279.05734 -720.11713 0.00000 0.00000 0.00000
501.19000 0.00000 0.00000 0.00000 324.84589 -872.69275 0.00000 0.00000 0.00000
398.11000 0.00000 0.00000 0.00000 380.56179 -1054.07418 0.00000 0.00000 0.00000
316.23000 0.00000 0.00000 0.00000 449.36245 -1272.89345 0.00000 0.00000 0.00000
251.19000 0.00000 0.00000 0.00000 533.92783 -1535.86289 0.00000 0.00000 0.00000
199.53000 0.00000 0.00000 0.00000 638.76737 -1852.02594 0.00000 0.00000 0.00000
158.49000 0.00000 0.00000 0.00000 768.13872 -2231.77754 0.00000 0.00000 0.00000
125.89000 0.00000 0.00000 0.00000 928.70000 -2685.40782 0.00000 0.00000 0.00000
100.00000 0.00000 0.00000 0.00000 1127.97113 -3228.79559 0.00000 0.00000 0.00000
79.43300 0.00000 0.00000 0.00000 1375.09565 -3878.14876 0.00000 0.00000 0.00000
63.09600 0.00000 0.00000 0.00000 1689.50191 -4652.90981 0.00000 0.00000 0.00000
50.11900 0.00000 0.00000 0.00000 2062.01622 -5544.01257 0.00000 0.00000 0.00000
39.81100 0.00000 0.00000 0.00000 2540.72735 -6638.44907 0.00000 0.00000 0.00000
31.62300 0.00000 0.00000 0.00000 3124.98616 -7891.34727 0.00000 0.00000 0.00000
25.11900 0.00000 0.00000 0.00000 3878.07662 -9414.72155 0.00000 0.00000 0.00000
19.95300 0.00000 0.00000 0.00000 4811.37198 -11160.98656 0.00000 0.00000 0.00000
15.84900 0.00000 0.00000 0.00000 6009.14106 -13182.70236 0.00000 0.00000 0.00000
12.58900 0.00000 0.00000 0.00000 7405.42187 -15508.53294 0.00000 0.00000 0.00000
10.00000 0.00000 0.00000 0.00000 9191.57135 -18154.51795 0.00000 0.00000 0.00000
